CUSTOMER_CODE,ITEM_CODE,GROUP_CODE,GROUP_NAME,DIAMETER1,DIAMETER2,THICKNESS,LENGTH,BeatCut,TotalLast_StockOut,TotalStockOut,HisStockOut,StockOut,TotalCurrentStock,TotalPln,PlnQty,future_Stock,ikey
,|0101021700|0.00|0.00|0.000|138.000,17,MP38,0.0,0.0,0.0,0.0,NBC,,,,,7944.0,,,7944.0,17xMP38x0x0x0x0
,|0101021700|0.00|0.00|0.000|146.500,17,MP38,0.0,0.0,0.0,0.0,NBC,,,,,14448.0,,,14448.0,17xMP38x0x0x0x0
,|0101021700|0.00|0.00|0.000|164.500,17,MP38,0.0,0.0,0.0,0.0,NBC,,,,,0.0,,,0.0,17xMP38x0x0x0x0
,|0101021700|0.00|0.00|0.000|47.500,17,MP38,0.0,0.0,0.0,0.0,NBC,,,,,691.0,,,691.0,17xMP38x0x0x0x0
,|0101021700|0.00|0.00|0.000|48.500,17,MP38,0.0,0.0,0.0,0.0,NBC,,,,,1588.0,,,1588.0,17xMP38x0x0x0x0
,|0101021700|0.00|0.00|0.000|53.000,17,MP38,0.0,0.0,0.0,0.0,NBC,,,,,888.0,,,888.0,17xMP38x0x0x0x0
,|0101021700|0.00|0.00|0.000|53.500,17,MP38,0.0,0.0,0.0,0.0,NBC,,,,,3423.0,,,3423.0,17xMP38x0x0x0x0
,|0101021700|0.00|0.00|0.000|56.500,17,MP38,0.0,0.0,0.0,0.0,NBC,,,,,983.0,,,983.0,17xMP38x0x0x0x0
,|0101021700|0.00|0.00|0.000|57.000,17,MP38,0.0,0.0,0.0,0.0,NBC,,,,,3153.0,,,3153.0,17xMP38x0x0x0x0
,|0101021700|0.00|0.00|0.000|58.000,17,MP38,0.0,0.0,0.0,0.0,NBC,,,,,2706.0,,,2706.0,17xMP38x0x0x0x0
,|0101021700|0.00|0.00|0.000|58.500,17,MP38,0.0,0.0,0.0,0.0,NBC,,,,,7252.0,,,7252.0,17xMP38x0x0x0x0
,|0101021700|0.00|0.00|0.000|65.000,17,MP38,0.0,0.0,0.0,0.0,NBC,,,,,11814.0,,,11814.0,17xMP38x0x0x0x0
,|0101021700|0.00|0.00|0.000|65.500,17,MP38,0.0,0.0,0.0,0.0,NBC,,,,,1189.0,,,1189.0,17xMP38x0x0x0x0
,|0101021700|0.00|0.00|0.000|67.000,17,MP38,0.0,0.0,0.0,0.0,NBC,,,,,30686.0,,,30686.0,17xMP38x0x0x0x0
,|0101021700|0.00|0.00|0.000|67.500,17,MP38,0.0,0.0,0.0,0.0,NBC,,,,,4440.0,,,4440.0,17xMP38x0x0x0x0
,|0101021700|0.00|0.00|0.000|68.000,17,MP38,0.0,0.0,0.0,0.0,NBC,,,,,3401.0,,,3401.0,17xMP38x0x0x0x0
,|0101021700|0.00|0.00|0.000|75.500,17,MP38,0.0,0.0,0.0,0.0,NBC,,,,,7074.0,,,7074.0,17xMP38x0x0x0x0
,|0101021700|0.00|0.00|0.000|77.000,17,MP38,0.0,0.0,0.0,0.0,NBC,,,,,9022.0,,,9022.0,17xMP38x0x0x0x0
,|0101021700|0.00|0.00|0.000|78.000,17,MP38,0.0,0.0,0.0,0.0,NBC,,,,,1084.0,,,1084.0,17xMP38x0x0x0x0
,|0101021700|0.00|0.00|0.000|78.500,17,MP38,0.0,0.0,0.0,0.0,NBC,,,,,0.0,,,0.0,17xMP38x0x0x0x0
,|0101021700|0.00|0.00|0.000|84.500,17,MP38,0.0,0.0,0.0,0.0,NBC,,,,,4594.0,,,4594.0,17xMP38x0x0x0x0
,|0101021700|0.00|0.00|0.000|87.000,17,MP38,0.0,0.0,0.0,0.0,NBC,,,,,3304.0,,,3304.0,17xMP38x0x0x0x0
,|0101021700|0.00|0.00|0.000|87.500,17,MP38,0.0,0.0,0.0,0.0,NBC,,,,,3391.0,,,3391.0,17xMP38x0x0x0x0
,|0101021700|0.00|0.00|0.000|88.500,17,MP38,0.0,0.0,0.0,0.0,NBC,,,,,1366.0,,,1366.0,17xMP38x0x0x0x0
