ID,ItemNo,CUSTOMER_CODE,CUSTOMER_GROUP,ITEM_CODE,DLV_PLACE,Model,PartNo,PartName,MaterialCode,MaterialName,SURFACE_CODE,COLOR_CODE,LENGTH,PROCESSING_CODE,SpecialReq,Commodity,SymbolItem,QualityInf,Other,Rate,HideInCUS030,ReqForDLV,ModifyDate,QRCodeInfo1,QRCodeCus,ApplyDate_QRCode,INV_DV,LockItem,INPUT_DATE,INPUT_PERSON,MODIFY_DATE,MODIFY_PERSON,DIAMETER1,DIAMETER2,THICKNESS,SurfaceName,ColorName,ProcessName,Size,QUANTITY,TOLERANCE,isUsed
296,1,C07037,HONDA,|0200225939|19.10|0.00|2.300|0.000,EMTC,K1FA,"50530-K1FA-V000-XA
",Pipe,59,STAM290GA,03,00,5500.0,08,,,E-G,,,0.0,False,,2021-01-12 00:00:00,"E8|Pipe|50530-K1FA-V000-XA
",,,,False,2021-01-12 11:42:09,id12,2023-05-11 10:04:51,id02,19.1,0.0,2.3,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),19.1 x 2.3,169.0,-0.0 mm*+15.0 mm,0
297,1,C07037,HONDA,|0200226010|19.10|0.00|2.000|0.000,EMTC,K0R,"50530-K0R-V000-XA
",Pipe,60,STAM390G,03,00,5900.0,08,,,E-G,,,0.0,False,,2021-01-12 00:00:00,"E8|Pipe|50530-K0R-V000-XA
",,,,False,2021-01-12 11:42:09,id12,2023-05-11 10:04:51,id02,19.1,0.0,2.0,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),19.1 x 2.0,169.0,-0.0 mm*+15.0 mm,0
298,1,C07029,HONDA,|0200225900|15.00|10.30|2.350|0.000,INT,K2CA,133,,59,STAM290GA,03,01,5650.0,08,,,E-C,,,0.0,True,,2021-01-12 00:00:00,,,,,False,2021-01-12 12:00:34,id12,2023-11-03 08:49:45,id02,15.0,10.3,2.35,"Pickled and Oiled,Hot rolled steel",IBC,Piping(Pre-End),15 x 10.3 x 2.35,0.0,,0
300,1,C07030,HONDA,|0200262901|25.40|0.00|1.000|0.000,TNK,K12,18310-K12-V800-33,PIPE F INNER,29,SUS409L,01,01,5800.0,08,,,E-G,,,0.0,True,,2021-01-12 00:00:00,,,,,False,2021-01-12 13:04:18,id12,2023-07-24 09:17:04,id02,25.4,0.0,1.0,Cold  Rolled Steel ,IBC,Piping(Pre-End),25.4 x 1.0,127.0,+15.0 mm*-0.0 mm,0
354,1,C07033,HONDA,|0200225926|48.60|0.00|3.500|0.000,MFVN,K56,,,59,STAM290GA,03,01,5400.0,08,,,E-G,,,0.0,True,,2021-01-15 00:00:00,,,,,False,2021-01-15 14:44:14,id12,2021-11-25 09:34:50,id02,48.6,0.0,3.5,"Pickled and Oiled,Hot rolled steel",IBC,Piping(Pre-End),48.6 x 3.5,37.0,- 0.0 mm* +15 mm,0
455,1,C07009,,|0200226339|40.00|25.00|1.600|0.000,,,,,63,STKMRR290,03,00,5500.0,04,,,E-G,,,0.0,True,,2021-02-27 00:00:00,,,,,False,2021-02-27 14:25:07,id12,2022-02-16 14:22:05,id02,40.0,25.0,1.6,"Pickled and Oiled,Hot rolled steel",NBC,As Cut,40 x 25 x 1.6,120.0,+15.0 mm*-0.0 mm,0
464,1,C07019,,|0200230841|38.10|0.00|1.200|0.000,MITSUI VN,,,,08,STKM13A,01,00,5000.0,08,,,E-G,,,0.0,False,,2021-02-27 00:00:00,,,,,False,2021-02-27 15:16:53,id12,2022-02-16 14:22:44,id02,38.1,0.0,1.2,Cold  Rolled Steel ,NBC,Piping(Pre-End),38.1 x 1.2,127.0,+0.0 mm*+15.0 mm,0
466,1,C07024,,|0200220139|22.20|0.00|2.000|0.000,NHAT THAI,,,,01,STKM11A,03,00,5980.0,08,,,E-G,,,0.0,True,,2021-02-27 00:00:00,,,,,False,2021-02-27 15:18:46,id12,2022-02-16 14:22:19,id02,22.2,0.0,2.0,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),22.2 x 2.0,271.0,-0.0 mm*+15.0 mm,0
474,1,C07027,HONDA,|0200230120|35.00|0.00|1.200|0.000,,,,,01,STKM11A,01,01,5800.0,08,,,E-G,,,0.0,False,,2021-02-27 00:00:00,,,,,False,2021-02-27 15:34:57,id12,2023-06-30 13:45:17,id02,35.0,0.0,1.2,Cold  Rolled Steel ,IBC,Piping(Pre-End),35 x 1.2,91.0,+15.0 mm*-0.0 mm,0
481,1,C07028,,|0200262901|25.40|0.00|1.000|0.000,,,,,29,SUS409L,01,00,5000.0,08,,,E-G,,,0.0,True,,2021-02-27 00:00:00,,,,,False,2021-02-27 15:36:00,id12,2022-02-16 14:23:30,id02,25.4,0.0,1.0,Cold  Rolled Steel ,NBC,Piping(Pre-End),25.4 x 1.0,271.0,+15.0 mm*-0.0 mm,0
508,1,C07035,,|0200230119|22.20|0.00|1.200|0.000,TAM HOP,,,,01,STKM11A,01,01,5800.0,08,,,E-G,,,0.0,False,,2021-02-27 00:00:00,,,,,False,2021-02-27 16:32:14,id12,2023-10-19 09:24:13,id02,22.2,0.0,1.2,Cold  Rolled Steel ,IBC,Piping(Pre-End),22.2 x 1.2,169.0,+1.0 mm*+15.0 mm,0
509,1,C07036,,|0200226339|50.00|30.00|1.600|0.000,MEIKO,,,,63,STKMRR290,03,00,6450.0,08,,,E-G,,,0.0,True,,2021-02-27 00:00:00,,,,,False,2021-02-27 16:35:13,id12,2022-02-16 14:23:45,id02,50.0,30.0,1.6,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),50 x 30 x 1.6,80.0,-0.0 mm*+15 mm,0
529,1,C07047,,|0200226010|19.10|0.00|2.000|0.000,,,,,60,STAM390G,03,00,900.0,05,,,E-G,,,0.0,False,,2021-02-27 00:00:00,,,,,False,2021-02-27 17:09:48,id12,2021-04-28 11:20:09,id02,19.1,0.0,2.0,"Pickled and Oiled,Hot rolled steel",NBC,Brushing,19.1 x 2.0,100.0,+0.5 mm*-0.5 mm,0
530,1,C07048,VINFAST,|0200220139|22.20|0.00|1.600|0.000,,,,,01,STKM11A,03,00,600.0,05,,,E-G,,,0.0,False,,2021-02-27 00:00:00,,,,,False,2021-02-27 17:14:37,id12,2022-07-07 08:37:09,id02,22.2,0.0,1.6,"Pickled and Oiled,Hot rolled steel",NBC,Brushing,22.2 x 1.6,300.0,+0.5 mm*-0.5 mm,0
523,1,C07045,HONDA,|0200226010|34.00|0.00|2.600|0.000,MINH TUNG,,,,60,STAM390G,03,01,5850.0,08,,,E-G,,,0.0,False,CHU Y,2021-02-27 00:00:00,,,,,False,2021-02-27 17:05:53,id12,2023-05-11 10:02:36,id02,34.0,0.0,2.6,"Pickled and Oiled,Hot rolled steel",IBC,Piping(Pre-End),34 x 2.6,61.0,+15.0 mm*-0.0 mm,0
622,1,C07052,OTHER,|0200220139|22.20|0.00|1.600|0.000,MIKASA,,,,01,STKM11A,03,00,5503.0,08,,,E-G,,,0.0,False,,2021-04-15 00:00:00,,,,,False,2021-04-15 15:31:52,id02,2021-10-08 15:45:46,id02,22.2,0.0,1.6,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),22.2 x 1.6,271.0,+15.0 mm*-0.0 mm,0
