ID,ItemNo,CUSTOMER_CODE,CUSTOMER_GROUP,ITEM_CODE,DLV_PLACE,Model,PartNo,PartName,MaterialCode,MaterialName,SURFACE_CODE,COLOR_CODE,LENGTH,PROCESSING_CODE,SpecialReq,Commodity,SymbolItem,QualityInf,Other,Rate,HideInCUS030,ReqForDLV,ModifyDate,QRCodeInfo1,QRCodeCus,ApplyDate_QRCode,INV_DV,LockItem,INPUT_DATE,INPUT_PERSON,MODIFY_DATE,MODIFY_PERSON,DIAMETER1,DIAMETER2,THICKNESS,SurfaceName,ColorName,ProcessName,Size,QUANTITY,TOLERANCE,isUsed
68,13,C07038,TTVN,|0200220810|38.10|0.00|2.600|0.000,TBHN,,79114-X7A15,IH-282,08,STKM13A,03,00,687.7,05,,,E-G,,,0.0,False,,2020-12-01 00:00:00,E8|IH-282|79114-X7A15,E8|IH-282|79114-X7A15|200||Vietnam|IMV|||pcs||LCL|SUNSCO|null|1|null|null|null|VN|,2022-08-15,,False,2020-12-01 00:00:00,7777,2023-08-02 11:05:42,id02,38.1,0.0,2.6,"Pickled and Oiled,Hot rolled steel",NBC,Brushing,38.1 x 2.6,200.0,+0.5 mm * -0.5 mm,0
69,13,C07002,YAMAHA,|0200226240|28.60|0.00|1.600|0.000, PS1 ,,1PE-F3562-00-000Y, ARM FR1 ,62,STKMHT590,03,00,341.0,05,,,E-G,,,0.0,False,,2020-12-01 00:00:00,,,,,False,2020-12-01 00:00:00,7777,2023-11-14 16:27:31,id02,28.6,0.0,1.6,"Pickled and Oiled,Hot rolled steel",NBC,Brushing,28.6 x 1.6,500.0,+0.3 mm*-0.3 mm,0
13,13,C07001,HONDA,|0200226010|19.10|0.00|1.600|0.000, NLX5 ,,,,60,STAM390G,03,00,5600.0,08,,,E-G,,,0.0,True,,2020-12-01 00:00:00,,,,,False,2020-12-01 00:00:00,7777,2023-11-30 09:31:11,ID02,19.1,0.0,1.6,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),19.1 x 1.6,169.0,-0.0 mm*+15.0 mm,0
244,13,C07005,YAMAHA,|0200226240|25.40|0.00|2.300|0.000,SHVN,,,,62,STKMHT590,03,01,5760.0,08,,,E-G,,,0.0,False,,2021-01-12 00:00:00,,,,,False,2021-01-12 10:17:23,id12,2023-10-27 14:43:49,id02,25.4,0.0,2.3,"Pickled and Oiled,Hot rolled steel",IBC,Piping(Pre-End),25.4 x 2.3,127.0,+0.0 mm*+15.0 mm,0
295,13,C07032,HONDA,|0200226010|22.20|0.00|2.000|0.000,GTA,K2CA,K2CV0-053-55,"PIPE, HANDLE",60,STAM390G,03,01,741.0,07,,,E-G,,,0.0,False,,2021-01-12 00:00:00,"E8|PIPE, HANDLE|K2CV0-053-55",,,,False,2021-01-12 11:39:26,id12,2023-12-18 09:23:10,id02,22.2,0.0,2.0,"Pickled and Oiled,Hot rolled steel",IBC,Punching,22.2 x 2.0,500.0,Ø8(+1.5/+2.0),0
314,13,C07029,HONDA,|0200226010|22.20|0.00|2.000|0.000,INT,,,,60,STAM390G,03,00,5160.0,08,,,E-G,,,0.0,False,,2021-01-13 00:00:00,E8||,,,,False,2021-01-13 08:38:50,id12,2023-11-03 08:49:46,id02,22.2,0.0,2.0,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),22.2 x 2.0,169.0,-0.0 mm*+15 mm,0
462,13,C07011,HONDA,|0200225939|19.10|0.00|2.600|0.000,,,,,59,STAM290GA,03,00,6000.0,08,,,E-G,,,0.0,False,,2021-02-27 00:00:00,E8||,,,,False,2021-02-27 14:52:28,id12,2023-10-31 13:42:57,id02,19.1,0.0,2.6,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),19.1 x 2.6,91.0,+1.0 mm*15.0 mm,0
472,13,C07025,,|0200220139|22.20|0.00|2.000|0.000,,,,,01,STKM11A,03,00,5110.0,08,,,E-G,,,0.0,True,,2021-02-27 00:00:00,,,,,False,2021-02-27 15:28:57,id12,2023-04-12 08:38:21,id02,22.2,0.0,2.0,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),22.2 x 2.0,0.0,,0
548,13,C07295,OTHER,|0200220139|15.90|0.00|1.600|0.000,,,,,01,STKM11A,03,00,402.5,05,,,E-G,,,0.0,False,,2021-02-27 00:00:00,,,,,False,2021-02-27 17:28:38,id12,2023-10-31 13:42:08,id02,15.9,0.0,1.6,"Pickled and Oiled,Hot rolled steel",NBC,Brushing,15.9 x 1.6,1000.0,+0.5 mm*-0.5 mm,0
579,13,C07008,YAMAHA,|0200220139|28.60|0.00|2.000|0.000,,,,,01,STKM11A,03,00,219.0,05,,,E-G,,,0.0,False,,2021-03-15 00:00:00,,,,,False,2021-03-15 14:40:22,id06,2023-02-03 10:35:18,id02,28.6,0.0,2.0,"Pickled and Oiled,Hot rolled steel",NBC,Brushing,28.6 x 2.0,0.0,,0
573,13,C07031,HONDA,|0200226010|28.60|0.00|3.200|0.000,HUY HOANG,K56,,,60,STAM390G,03,01,5925.0,08,,,E-G,,,0.0,False,,2021-03-12 00:00:00,,,,,False,2021-03-12 14:37:00,ID06,2023-11-20 14:58:11,id02,28.6,0.0,3.2,"Pickled and Oiled,Hot rolled steel",IBC,Piping(Pre-End),28.6 x 3.2,61.0,-0.0 mm*+15.0 mm,0
639,13,C07048,VINFAST,|0200226339|40.00|20.00|2.300|0.000,,,,,63,STKMRR290,03,00,426.0,05,,,E-G,,,0.0,False,,2021-04-28 00:00:00,,,,,False,2021-04-28 11:09:19,id02,2022-07-07 08:37:10,id02,40.0,20.0,2.3,"Pickled and Oiled,Hot rolled steel",NBC,Brushing,40 x 20 x 2.3,600.0,+0.5 mm*-0.5mm,0
709,13,C07050,VINFAST,|0200220810|34.00|0.00|2.000|0.000,VINFAST,V5 LITE,,,08,STKM13A,03,00,780.0,05,,,E-G,,,0.0,False,,2022-01-17 00:00:00,,,,,False,2022-01-17 16:12:07,id06,2023-10-17 11:59:09,id02,34.0,0.0,2.0,"Pickled and Oiled,Hot rolled steel",NBC,Brushing,34 x 2.0,200.0,+0.5 mm*-0.5 mm,0
796,13,C07027,OTHER,|0200230120|28.60|0.00|1.200|0.000,,CMS,,,01,STKM11A,01,01,5510.0,08,,,E-G,,,0.0,False,,2023-02-15 00:00:00,E8||,,,,False,2023-02-15 11:26:54,ID02,2023-06-30 13:45:17,id02,28.6,0.0,1.2,Cold  Rolled Steel ,IBC,Piping(Pre-End),28.6 x 1.2,271.0,+15.0 mm*-0.0 mm,0
797,14,C07027,OTHER,|0200230120|28.60|0.00|1.200|0.000,,CMS,,,01,STKM11A,01,01,5650.0,08,,,E-G,,,0.0,False,,2023-02-15 00:00:00,E8||,,,,False,2023-02-15 11:26:54,ID02,2023-06-30 13:45:18,id02,28.6,0.0,1.2,Cold  Rolled Steel ,IBC,Piping(Pre-End),28.6 x 1.2,271.0,+15.0 mm*-0.0 mm,0
710,14,C07050,VINFAST,|0200220810|48.60|0.00|2.600|0.000,VINFAST,V5 CITY/V5 LITE/VF,5300008450 TUB_STKM13A_T2.6_OD48.6_L550,TUB00000046,08,STKM13A,03,00,550.0,05,,,E-G,,,0.0,False,,2022-01-17 00:00:00,E8|TUB00000046|5300008450 TUB_STKM13A_T2.6_OD48.6_L550,,,,False,2022-01-17 16:12:07,id06,2023-10-17 11:59:10,id02,48.6,0.0,2.6,"Pickled and Oiled,Hot rolled steel",NBC,Brushing,48.6 x 2.6,200.0,+0.5 mm*-0.5 mm,0
640,14,C07048,VINFAST,|0200230120|22.20|0.00|1.200|0.000,,,,,01,STKM11A,01,00,845.0,05,,,E-G,,,0.0,False,,2021-04-28 00:00:00,,,,,False,2021-04-28 11:09:20,id02,2022-07-07 08:37:10,id02,22.2,0.0,1.2,Cold  Rolled Steel ,NBC,Brushing,22.2 x 1.2,500.0,+0.5 mm*-0.5 mm,0
583,14,C07008,VINFAST,|0200220810|48.60|0.00|2.600|0.000,,"V5 CITY, V5 LIFE",,MAIN TUBE,08,STKM13A,03,01,805.0,05,,,E-G,,,0.0,False,,2021-03-25 00:00:00,,,,,False,2021-03-25 10:23:25,id06,2023-02-03 10:35:18,id02,48.6,0.0,2.6,"Pickled and Oiled,Hot rolled steel",IBC,Brushing,48.6 x 2.6,150.0,+0.5 mm*-0.5 mm,0
549,14,C07295,OTHER,|0200220139|15.90|0.00|1.600|0.000,,,,,01,STKM11A,03,00,6000.0,05,,,E-G,,,0.0,False,,2021-02-27 00:00:00,,,,,False,2021-02-27 17:28:38,id12,2023-10-31 13:42:08,id02,15.9,0.0,1.6,"Pickled and Oiled,Hot rolled steel",NBC,Brushing,15.9 x 1.6,0.0,,0
556,14,C07031,HONDA,|0200226010|19.10|0.00|1.400|0.000,ANH TRANG,"K1F, K2CA",,,60,STAM390G,03,00,5600.0,08,,,E-G,,,0.0,True,,2021-03-01 00:00:00,,,,,False,2021-03-01 13:47:07,id12,2023-11-20 14:58:11,id02,19.1,0.0,1.4,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),19.1 x 1.4,169.0,- 0.0 mm*+15.0 mm,0
501,14,C07032,HONDA,|0200226010|45.00|0.00|2.300|0.000,GTA,K2TA,,PIPE R,60,STAM390G,03,01,743.0,05,,,E-G,,,0.0,True,Ð?i chi?u dài,2021-02-27 00:00:00,,,,,False,2021-02-27 16:28:25,id12,2023-12-18 09:23:10,id02,45.0,0.0,2.3,"Pickled and Oiled,Hot rolled steel",IBC,Brushing,45 x 2.3,150.0,+0.5 mm*-0.5 mm,0
473,14,C07025,,|0200226339|50.00|30.00|1.600|0.000,,,,,63,STKMRR290,03,00,6450.0,08,,,E-G,,,0.0,True,,2021-02-27 00:00:00,,,,,False,2021-02-27 15:28:57,id12,2023-04-12 08:38:21,id02,50.0,30.0,1.6,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),50 x 30 x 1.6,80.0,-0.0 mm*+15 mm,0
463,14,C07011,VINFAST,|0200220139|25.40|0.00|2.000|0.000,,,,,01,STKM11A,03,01,5870.0,08,,,E-G,,,0.0,False,,2021-02-27 00:00:00,E8||,,,,False,2021-02-27 14:52:28,id12,2023-10-31 13:42:57,id02,25.4,0.0,2.0,"Pickled and Oiled,Hot rolled steel",IBC,Piping(Pre-End),25.4 x 2.0,127.0,+15.0 mm*-0.0 mm,0
315,14,C07029,HONDA,|0200226010|22.20|0.00|2.000|0.000,INT,,,,60,STAM390G,03,00,5343.0,08,,,E-G,,,0.0,True,,2021-01-13 00:00:00,,,,,False,2021-01-13 08:38:50,id12,2023-11-03 08:49:46,id02,22.2,0.0,2.0,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),22.2 x 2.0,169.0,-0.0 mm*+15 mm,0
14,14,C07001,HONDA,|0200226010|19.10|0.00|2.000|0.000, NLX6,K1WA-HII,B161912005600,,60,STAM390G,03,00,5600.0,08,,,E-G,,,0.0,False,,2020-12-01 00:00:00,E8||B161912005600,,,,False,2020-12-01 00:00:00,7777,2023-11-30 09:31:11,ID02,19.1,0.0,2.0,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),19.1 x 2.0,217.0,-0.0 mm*+15.0 mm,0
70,14,C07005,YAMAHA,|0200262901|45.00|0.00|1.200|0.000,SHVN,,,,29,SUS409L,01,00,1000.0,05,,,E-G,,,0.0,False,,2020-12-01 00:00:00,,,,,False,2020-12-01 00:00:00,7777,2023-10-27 14:43:49,id02,45.0,0.0,1.2,Cold  Rolled Steel ,NBC,Brushing,45 x 1.2,80.0,+0.5mm*-0.5mm,0
71,14,C07038,TTVN,|0200220810|19.10|0.00|2.300|0.000,TBHN,,72345-X1V53,EH-078,08,STKM13A,03,00,371.7,05,,,E-G,,,0.0,False,,2020-12-01 00:00:00,E8|EH-078|72345-X1V53,E8|EH-078|72345-X1V53|50||Vietnam|VIOS|||pcs||LCL|SUNSCO|null|1|null|null|null|VN|,2022-08-15,,False,2020-12-01 00:00:00,7777,2023-08-02 11:05:42,id02,19.1,0.0,2.3,"Pickled and Oiled,Hot rolled steel",NBC,Brushing,19.1 x 2.3,50.0,+0.5 mm*-0.5 mm,0
72,14,C07002,YAMAHA,|0200226240|28.60|0.00|1.600|0.000, PS1 ,,1PE-F3564-00-000Y, ARM FR3 ,62,STKMHT590,03,00,363.0,05,,,E-G,,,0.0,False,,2020-12-01 00:00:00,,,,,False,2020-12-01 00:00:00,7777,2023-11-14 16:27:31,id02,28.6,0.0,1.6,"Pickled and Oiled,Hot rolled steel",NBC,Brushing,28.6 x 1.6,500.0,+0.3 mm*-0.3 mm,0
73,15,C07005,YAMAHA,|0200262901|48.60|0.00|1.200|0.000,SHVN,,,,29,SUS409L,01,01,500.0,05,,,E-G,,,0.0,True,,2020-12-01 00:00:00,,,,,False,2020-12-01 00:00:00,7777,2023-10-27 14:43:49,id02,48.6,0.0,1.2,Cold  Rolled Steel ,IBC,Brushing,48.6 x 1.2,120.0,+0.5mm*-0.5mm,0
74,15,C07038,TTVN,|0200220139|25.40|0.00|1.600|0.000,XH,,,,01,STKM11A,03,00,1488.0,05,,,E-G,,,0.0,False,,2020-12-01 00:00:00,,,,,False,2020-12-01 00:00:00,7777,2023-08-02 11:05:42,id02,25.4,0.0,1.6,"Pickled and Oiled,Hot rolled steel",NBC,Brushing,25.4 x 1.6,500.0,-0.5mm*+0.5mm,0
75,15,C07002,YAMAHA,|0200226117|28.60|0.00|2.000|0.000, PS1 ,,1RC-21123-00-000Y, BACK STAY RH ,61,STKMHT490,03,00,312.0,05,,,E-G,,,0.0,False,,2020-12-01 00:00:00,,,,,False,2020-12-01 00:00:00,7777,2023-11-14 16:27:31,id02,28.6,0.0,2.0,"Pickled and Oiled,Hot rolled steel",NBC,Brushing,28.6 x 2.0,500.0,+ 0.5 mm*- 0.5 mm,0
15,15,C07001,HONDA,|0200226010|19.10|0.00|2.000|0.000, NLX5 ,,B161912005000,,60,STAM390G,03,00,5000.0,08,,,E-G,,,0.0,False,,2020-12-01 00:00:00,E8||B161912005000,,,,False,2020-12-01 00:00:00,7777,2023-11-30 09:31:12,ID02,19.1,0.0,2.0,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),19.1 x 2.0,217.0,-0.0 mm*+15.0 mm,0
316,15,C07029,HONDA,|0200226010|25.40|0.00|1.400|0.000,INT,,,,60,STAM390G,03,00,5470.0,08,,,E-G,,,0.0,False,,2021-01-13 00:00:00,E8||,,,,False,2021-01-13 08:38:50,id12,2023-11-03 08:49:46,id02,25.4,0.0,1.4,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),25.4 x 1.4,127.0,- 0.0 mm*+ 15.0 mm,0
260,15,C07031,HONDA,|0200226010|31.80|0.00|2.600|0.000,VIET TRI,K56,,,60,STAM390G,03,01,5600.0,08,,,E-G,,,0.0,False,,2021-01-12 00:00:00,,,,,False,2021-01-12 11:04:50,id12,2023-11-20 14:58:11,id02,31.8,0.0,2.6,"Pickled and Oiled,Hot rolled steel",IBC,Piping(Pre-End),31.8 x 2.6,61.0,-0.0 mm*+15 mm,0
502,15,C07032,HONDA,|0200226010|45.00|0.00|2.300|0.000,GTA,K2TA,,PIPE L,60,STAM390G,03,01,743.0,05,,,E-G,,,0.0,True,Ð?i chi?u dài,2021-02-27 00:00:00,,,,,False,2021-02-27 16:28:25,id12,2023-12-18 09:23:10,id02,45.0,0.0,2.3,"Pickled and Oiled,Hot rolled steel",IBC,Brushing,45 x 2.3,150.0,+0.5 mm*-0.5 mm,0
550,15,C07295,OTHER,|0200226339|50.00|30.00|1.600|0.000,,,,,63,STKMRR290,03,00,6450.0,04,,,E-G,,,0.0,False,,2021-02-27 00:00:00,E8||,,,,False,2021-02-27 17:28:38,id12,2023-10-31 13:42:08,id02,50.0,30.0,1.6,"Pickled and Oiled,Hot rolled steel",NBC,As Cut,50 x 30 x 1.6,80.0,-0.0 mm*+15 mm,0
633,15,C07008,VINFAST,|0200220139|25.40|0.00|2.600|0.000,,,,,01,STKM11A,03,00,274.7,05,,,E-G,,,0.0,False,,2021-04-15 00:00:00,,,,,False,2021-04-15 16:09:01,id02,2023-02-03 10:35:18,id02,25.4,0.0,2.6,"Pickled and Oiled,Hot rolled steel",NBC,Brushing,25.4 x 2.6,0.0,,0
645,15,C07048,VINFAST,|0200220139|38.10|0.00|2.000|0.000,,,,,01,STKM11A,03,00,1340.0,05,,,E-G,,,0.0,False,,2021-05-10 00:00:00,E8||,,,,False,2021-05-10 09:10:33,id02,2022-07-07 08:37:10,id02,38.1,0.0,2.0,"Pickled and Oiled,Hot rolled steel",NBC,Brushing,38.1 x 2.0,200.0,+0.7 mm*-0.7 mm,0
671,15,C07011,VINFAST,|0200225939|15.90|0.00|1.600|0.000,NM3,,,,59,STAM290GA,03,00,5800.0,08,,,E-G,,,0.0,False,,2021-07-03 00:00:00,,,,,False,2021-07-03 16:44:19,ID02,2023-10-31 13:42:57,id02,15.9,0.0,1.6,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),15.9 x 1.6,271.0,+0.0 mm*+15.0 mm,0
711,15,C07050,VINFAST,|0200220126|42.70|0.00|3.500|0.000,VINFAST,V5 CITY,5300008450 TUB_STKM11A_T3.5_OD42.7_L268.1,TUB00000045,01,STKM11A,03,00,268.1,05,,,E-G,,,0.0,False,,2022-01-17 00:00:00,E8|TUB00000045|5300008450 TUB_STKM11A_T3.5_OD42.7_L268.1,,,,False,2022-01-17 16:12:07,id06,2023-10-17 11:59:10,id02,42.7,0.0,3.5,"Pickled and Oiled,Hot rolled steel",NBC,Brushing,42.7 x 3.5,0.0,,0
798,15,C07027,OTHER,|0200226010|31.80|0.00|1.400|0.000,,CMS,,,60,STAM390G,03,01,5750.0,08,,,E-G,,,0.0,False,,2023-02-20 00:00:00,E8||,,,,False,2023-02-20 11:31:04,id02,2023-06-30 13:45:18,id02,31.8,0.0,1.4,"Pickled and Oiled,Hot rolled steel",IBC,Piping(Pre-End),31.8 x 1.4,169.0,-0.0 mm*+15.0 mm,0
799,16,C07027,OTHER,|0200226010|31.80|0.00|1.400|0.000,,CMS,,,60,STAM390G,03,01,5510.0,08,,,E-G,,,0.0,False,,2023-02-20 00:00:00,E8||,,,,False,2023-02-20 11:31:05,id02,2023-06-30 13:45:18,id02,31.8,0.0,1.4,"Pickled and Oiled,Hot rolled steel",IBC,Piping(Pre-End),31.8 x 1.4,169.0,-0.0 mm*+15.0 mm,0
732,16,C07048,VINFAST,|0200226010|34.00|0.00|2.000|0.000,,,,,60,STAM390G,03,00,229.0,05,,,E-G,,,0.0,False,,2022-04-27 00:00:00,E8||,,,,False,2022-04-27 14:22:43,id02,2022-07-07 08:37:10,id02,34.0,0.0,2.0,"Pickled and Oiled,Hot rolled steel",NBC,Brushing,34 x 2.0,0.0,,0
752,16,C07050,VINFAST,|0200220139|38.10|0.00|2.000|0.000,VINFAST,VF,,,01,STKM11A,03,00,1500.0,05,,,E-G,,,0.0,False,,2022-07-02 00:00:00,E8||,,,,False,2022-07-02 09:41:56,id02,2023-10-17 11:59:10,id02,38.1,0.0,2.0,"Pickled and Oiled,Hot rolled steel",NBC,Brushing,38.1 x 2.0,200.0,+0.7 mm*-0.7 mm,0
672,16,C07011,VINFAST,|0200226010|22.20|0.00|2.000|0.000,NM3,,,,60,STAM390G,03,01,5999.0,08,,,E-G,,,0.0,False,,2021-07-03 00:00:00,E8||,,,,False,2021-07-03 16:44:19,ID02,2023-10-31 13:42:57,id02,22.2,0.0,2.0,"Pickled and Oiled,Hot rolled steel",IBC,Piping(Pre-End),22.2 x 2.0,271.0,-0.0 mm*+15 mm,0
657,16,C07008,YAMAHA,|0200220139|15.90|0.00|2.300|0.000,,BFM,,,01,STKM11A,03,00,270.0,05,,,E-G,,,0.0,False,,2021-05-21 00:00:00,,,,,False,2021-05-21 15:53:29,id02,2023-02-03 10:35:18,id02,15.9,0.0,2.3,"Pickled and Oiled,Hot rolled steel",NBC,Brushing,15.9 x 2.3,0.0,,0
551,16,C07295,OTHER,|0200230119|22.20|0.00|1.200|0.000,,,,,01,STKM11A,01,00,5800.0,05,,,E-G,,,0.0,False,,2021-02-27 00:00:00,,,,,False,2021-02-27 17:28:38,id12,2023-10-31 13:42:08,id02,22.2,0.0,1.2,Cold  Rolled Steel ,NBC,Brushing,22.2 x 1.2,0.0,,0
503,16,C07032,HONDA,|0200226010|38.10|0.00|2.000|0.000,GTA,SP,50160-K27-V000-H1-AA,PIPE L,60,STAM390G,03,01,908.0,05,,,E-G,,,0.0,False,,2021-02-27 00:00:00,E8|PIPE L|50160-K27-V000-H1-AA,,,,False,2021-02-27 16:28:25,id12,2023-12-18 09:23:10,id02,38.1,0.0,2.0,"Pickled and Oiled,Hot rolled steel",IBC,Brushing,38.1 x 2.0,200.0,+0.5 mm*-0.5 mm,0
261,16,C07031,HONDA,|0200226010|22.20|0.00|2.000|0.000,ANH TRANG,K12/K2TA/K2SG,,,60,STAM390G,03,01,5360.0,08,,,E-G,,,0.0,False,,2021-01-12 00:00:00,E8||,,,,False,2021-01-12 11:04:50,id12,2023-11-20 14:58:11,id02,22.2,0.0,2.0,"Pickled and Oiled,Hot rolled steel",IBC,Piping(Pre-End),22.2 x 2.0,127.0,-0.0 mm*+15 mm,0
317,16,C07029,HONDA,|0200226010|25.40|0.00|1.600|0.000,INT,K12,85,,60,STAM390G,03,01,6170.0,08,,,E-G,,,0.0,True,,2021-01-13 00:00:00,,,,,False,2021-01-13 08:38:50,id12,2023-11-03 08:49:46,id02,25.4,0.0,1.6,"Pickled and Oiled,Hot rolled steel",IBC,Piping(Pre-End),25.4 x 1.6,271.0,-0.0 mm*+15.0 mm,0
16,16,C07001,HONDA,|0200226010|22.20|0.00|2.000|0.000, NLX5 ,"K1WF
",B162222005600,,60,STAM390G,03,00,5600.0,08,,,E-G,,,0.0,False,,2020-12-01 00:00:00,E8||B162222005600,,,,False,2020-12-01 00:00:00,7777,2023-11-30 09:31:12,ID02,22.2,0.0,2.0,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),22.2 x 2.0,169.0,-0.0 mm*+15 mm,0
76,16,C07005,YAMAHA,|0200262901|48.60|0.00|1.500|0.000,SHVN,,,,29,SUS409L,01,01,750.0,05,,,E-G,,,0.0,True,,2020-12-01 00:00:00,,,,,False,2020-12-01 00:00:00,7777,2023-10-27 14:43:49,id02,48.6,0.0,1.5,Cold  Rolled Steel ,IBC,Brushing,48.6 x 1.5,80.0,+0.5mm*-0.5mm,0
77,16,C07038,TTVN,|0200220810|19.10|0.00|1.600|0.000,XH,,,,08,STKM13A,03,00,450.0,05,,,E-G,,,0.0,False,,2020-12-01 00:00:00,,,,,False,2020-12-01 00:00:00,7777,2023-08-02 11:05:42,id02,19.1,0.0,1.6,"Pickled and Oiled,Hot rolled steel",NBC,Brushing,19.1 x 1.6,500.0,+0.5 mm*-0.5 mm,0
78,16,C07002,YAMAHA,|0200226117|25.40|0.00|1.600|0.000, PS1 ,,1RC-21195-00-000Y, SEAT RAIL1 ,61,STKMHT490,03,00,665.0,05,,,E-G,,,0.0,False,,2020-12-01 00:00:00,,,,,False,2020-12-01 00:00:00,7777,2023-11-14 16:27:31,id02,25.4,0.0,1.6,"Pickled and Oiled,Hot rolled steel",NBC,Brushing,25.4 x 1.6,500.0,+0.15 mm*-0.15 mm,0
79,17,C07005,YAMAHA,|0200262901|50.80|0.00|1.200|0.000,SHVN,,,,29,SUS409L,01,01,106.0,05,,,E-G,,,0.0,True,,2020-12-01 00:00:00,,,,,False,2020-12-01 00:00:00,7777,2023-10-27 14:43:49,id02,50.8,0.0,1.2,Cold  Rolled Steel ,IBC,Brushing,50.8 x 1.2,60.0,+0.5mm*-0.5mm,0
17,17,C07001,HONDA,|0200226010|22.20|0.00|2.300|0.000, NLX5 ,K2PJ,B162222305501,,60,STAM390G,03,00,5500.0,08,,,E-G,,,0.0,False,,2020-12-01 00:00:00,E8||B162222305501,,,,False,2020-12-01 00:00:00,7777,2023-11-30 09:31:12,ID02,22.2,0.0,2.3,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),22.2 x 2.3,169.0,-0.0 mm*+15.0mm,0
81,17,C07038,TTVN,|0200220810|19.10|0.00|1.600|0.000,XH,,,,08,STKM13A,03,00,636.5,05,,,E-G,,,0.0,False,,2020-12-01 00:00:00,,,,,False,2020-12-01 00:00:00,7777,2023-08-02 11:05:42,id02,19.1,0.0,1.6,"Pickled and Oiled,Hot rolled steel",NBC,Brushing,19.1 x 1.6,500.0,+0.5 mm*-0.5 mm,0
82,17,C07002,YAMAHA,|0200220139|15.90|0.00|1.600|0.000, PS1 ,,1S9-F1197-00-000Y, CROSS TUBE 2 ,01,STKM11A,03,00,68.4,05,,,E-G,,,0.0,False,,2020-12-01 00:00:00,,,,,False,2020-12-01 00:00:00,7777,2023-11-14 16:27:32,id02,15.9,0.0,1.6,"Pickled and Oiled,Hot rolled steel",NBC,Brushing,15.9 x 1.6,0.0,,0
318,17,C07029,HONDA,|0200226010|25.40|0.00|2.000|0.000,INT,,,,60,STAM390G,03,01,5000.0,08,,,E-G,,,0.0,True,,2021-01-13 00:00:00,,,,,False,2021-01-13 08:38:50,id12,2023-11-03 08:49:46,id02,25.4,0.0,2.0,"Pickled and Oiled,Hot rolled steel",IBC,Piping(Pre-End),25.4 x 2.0,127.0,+ 1.0 mm*+15.0 mm,0
504,17,C07032,HONDA,|0200226010|38.10|0.00|2.000|0.000,GTA,SP,50150-K27-V000-H1-AA,PIPE R,60,STAM390G,03,01,908.0,05,,,E-G,,,0.0,False,,2021-02-27 00:00:00,E8|PIPE R|50150-K27-V000-H1-AA,,,,False,2021-02-27 16:28:25,id12,2023-12-18 09:23:10,id02,38.1,0.0,2.0,"Pickled and Oiled,Hot rolled steel",IBC,Brushing,38.1 x 2.0,200.0,+0.5 mm*-0.5 mm,0
554,17,C07031,HONDA,|0200226010|42.70|0.00|1.400|0.000,HUY HOANG,K2TA-VT,,,60,STAM390G,03,00,5420.0,08,,,E-G,,,0.0,False,,2021-03-01 00:00:00,,,,,False,2021-03-01 13:47:07,id12,2023-11-20 14:58:11,id02,42.7,0.0,1.4,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),42.7 x 1.4,59.0,-0.0 mm*+15.0 mm,0
658,17,C07008,YAMAHA,|0200226117|38.10|0.00|1.800|0.000,,,,,61,STKMHT490,03,01,100.0,05,,,E-G,,,0.0,False,,2021-05-21 00:00:00,,,,,False,2021-05-21 15:53:29,id02,2023-02-03 10:35:18,id02,38.1,0.0,1.8,"Pickled and Oiled,Hot rolled steel",IBC,Brushing,38.1 x 1.8,0.0,,0
673,17,C07011,VINFAST,|0200226010|34.00|0.00|2.000|0.000,NM3,,,,60,STAM390G,03,01,6000.0,08,,,E-G,,,0.0,False,,2021-07-05 00:00:00,,,,,False,2021-07-05 08:16:43,id02,2023-10-31 13:42:57,id02,34.0,0.0,2.0,"Pickled and Oiled,Hot rolled steel",IBC,Piping(Pre-End),34 x 2.0,127.0,+15.0 mm*-0.0 mm,0
610,17,C07295,OTHER,|0200220139|15.90|0.00|1.600|0.000,,,,,01,STKM11A,03,00,747.0,05,,,E-G,,,0.0,False,,2021-04-02 00:00:00,,,,,False,2021-04-02 08:51:01,id02,2023-10-31 13:42:08,id02,15.9,0.0,1.6,"Pickled and Oiled,Hot rolled steel",NBC,Brushing,15.9 x 1.6,800.0,+0.5 mm*-0.5 mm,0
