ParentItemCode,ParentThickness2,ParentLength,ChildItemCode,ChildThickness2,ChildLength,ParentQty,ProcessCode,Main_Material
|0200226117|25.40|0.00|2.000|0.000,0.0,6151.0,|0101021400|0.00|0.00|0.000|77.000,2.0,0.0,1.0,CO,
|0200226240|19.10|0.00|1.600|0.000,0.0,6031.0,|0101022500|0.00|0.00|0.000|58.000,1.6,0.0,1.0,CO,
|0200226117|25.40|0.00|2.000|0.000,0.0,200.0,|0200226117|25.40|0.00|2.000|0.000,0.0,6151.0,30.0,CT,
|0200226117|28.60|0.00|2.000|0.000,0.0,2100.0,|0200226117|28.60|0.00|2.000|0.000,0.0,6436.0,3.0,CM,
|0200220139|38.10|0.00|2.300|0.000,0.0,5959.0,|0101022000|0.00|0.00|0.000|116.000,2.3,0.0,1.0,CO,
|0200220139|22.20|0.00|2.000|0.000,0.0,5980.0,|0101022000|0.00|0.00|0.000|67.000,2.0,0.0,1.0,CO,
|0200226117|25.40|0.00|1.600|0.000,0.0,665.0,|0200226117|25.40|0.00|1.600|0.000,0.0,6092.0,9.0,CT,
|0200220139|34.00|0.00|2.600|0.000,0.0,6121.0,|0101022000|0.00|0.00|0.000|103.000,2.6,0.0,1.0,CO,
|0200226240|31.80|0.00|3.200|0.000,0.0,5707.0,|0101022500|0.00|0.00|0.000|94.500,3.2,0.0,1.0,CO,
|0200226240|31.80|0.00|3.200|0.000,0.0,5851.0,|0101022500|0.00|0.00|0.000|94.500,3.2,0.0,1.0,CO,
|0200262901|25.40|0.00|1.000|0.000,0.0,5490.0,|0101100900|0.00|0.00|0.000|80.000,1.0,0.0,1.0,CO,
|0200262901|25.40|0.00|1.000|0.000,0.0,5800.0,|0101100900|0.00|0.00|0.000|80.000,1.0,0.0,1.0,CO,
|0101100900|0.00|0.00|0.000|80.000,1.0,0.0,"|0101100900|0.00|0.00|0.000|1,040.000",1.0,0.0,1.0,PS,
|0200230841|19.10|0.00|1.200|0.000,0.0,4900.0,|0101031000|0.00|0.00|0.000|59.000,1.2,0.0,1.0,CO,
|0200230841|19.10|0.00|1.200|0.000,0.0,5353.0,|0101031000|0.00|0.00|0.000|59.000,1.2,0.0,1.0,CO,
|0200230841|28.60|0.00|1.200|0.000,0.0,5253.0,|0101031000|0.00|0.00|0.000|89.000,1.2,0.0,1.0,CO,
|0200230841|28.60|0.00|1.200|0.000,0.0,5634.0,|0101031000|0.00|0.00|0.000|89.000,1.2,0.0,1.0,CO,
|0200230841|28.60|0.00|1.200|0.000,0.0,5784.0,|0101031000|0.00|0.00|0.000|89.000,1.2,0.0,1.0,CO,
|0200226240|28.60|0.00|2.300|0.000,0.0,5731.0,|0101022500|0.00|0.00|0.000|85.500,2.3,0.0,1.0,CO,
|0200226240|28.60|0.00|2.300|0.000,0.0,5875.0,|0101022500|0.00|0.00|0.000|85.500,2.3,0.0,1.0,CO,
|0200226240|28.60|0.00|2.300|0.000,0.0,483.0,|0200226240|28.60|0.00|2.300|0.000,0.0,5875.0,12.0,CM,
|0200226240|28.60|0.00|2.300|0.000,0.0,281.0,|0200226240|28.60|0.00|2.300|0.000,0.0,5731.0,20.0,CT,
|0200226240|19.10|0.00|1.600|0.000,0.0,236.0,|0200226240|19.10|0.00|1.600|0.000,0.0,6031.0,25.0,CT,
|0101022000|0.00|0.00|0.000|58.500,1.4,0.0,|0101022000|0.00|0.00|0.000|945.000,1.35,0.0,1.0,PS,1
|0101022000|0.00|0.00|0.000|48.500,1.6,0.0,|0101022000|0.00|0.00|0.000|940.000,1.5,0.0,1.0,PS,1
|0101022000|0.00|0.00|0.000|78.000,1.6,0.0,|0101022000|0.00|0.00|0.000|940.000,1.55,0.0,1.0,PS,1
|0101022000|0.00|0.00|0.000|67.000,1.8,0.0,|0101022000|0.00|0.00|0.000|965.000,1.75,0.0,1.0,PS,1
|0101022000|0.00|0.00|0.000|78.000,1.8,0.0,|0101022000|0.00|0.00|0.000|965.000,1.75,0.0,1.0,PS,1
|0101022000|0.00|0.00|0.000|87.000,3.2,0.0,|0101022000|0.00|0.00|0.000|965.000,3.05,0.0,1.0,PS,1
|0200226240|22.20|0.00|2.300|0.000,0.0,6244.0,|0101022500|0.00|0.00|0.000|66.000,2.3,0.0,1.0,CO,
|0101022000|0.00|0.00|0.000|184.000,3.8,0.0,|0101022000|0.00|0.00|0.000|925.000,3.7,0.0,1.0,PS,1
|0101021700|0.00|0.00|0.000|66.500,1.6,0.0,|0101021700|0.00|0.00|0.000|870.000,1.6,0.0,1.0,PS,1
|0101021400|0.00|0.00|0.000|117.500,1.8,0.0,|0101021400|0.00|0.00|0.000|950.000,1.75,0.0,1.0,PS,1
|0101022500|0.00|0.00|0.000|188.000,2.0,0.0,|0101022500|0.00|0.00|0.000|870.000,1.95,0.0,1.0,PS,1
|0101022500|0.00|0.00|0.000|76.500,2.3,0.0,|0101022500|0.00|0.00|0.000|960.000,2.2,0.0,1.0,PS,1
|0101022500|0.00|0.00|0.000|85.500,2.3,0.0,|0101022500|0.00|0.00|0.000|960.000,2.2,0.0,1.0,PS,1
